Handle,Metafield: custom.app_product_id [single_line_text_field],Metafield: custom.app_product_url [url],Metafield: custom.qr_feed_chart_url [url],Metafield: custom.front_label_pdf [url],Metafield: custom.rear_label_pdf [url],Metafield: custom.master_feed_chart_pdf [url],Metafield: custom.colour_reference_pdf [url],Metafield: custom.stage_window [single_line_text_field],Metafield: custom.product_role [single_line_text_field]
ax-pro,ax-pro,/products/ax-pro,/feed-chart?product=ax-pro&source=shopify,/locked-assets/catalyx/front-labels/01_CATALYX_FRONT_LABELS_ONLY/CXL-AXP-1L_A-X_PRO_1L_FRONT_LABEL_v13_REAR_CHART.pdf,/locked-assets/catalyx/rear-labels-with-feed-charts/02_CATALYX_REAR_LABELS_WITH_FEED_CHARTS/CXL-AXP-1L_A-X_PRO_1L_REAR_LABEL_WITH_LOCKED_FEED_CHART_v15.pdf,/locked-assets/catalyx/v17-9sku/CATALYX_v17_9SKU_No_IRONX_System_Update/01_FEED_CHARTS_9SKU/CATALYX_Main_Master_Feed_Chart_v17_9SKU_No_IRONX.pdf,/locked-assets/catalyx/v17-9sku/CATALYX_v17_9SKU_No_IRONX_System_Update/04_LABEL_AND_RANGE_NOTES_9SKU/CATALYX_9SKU_Core_Range_Colour_Reference_v17.pdf,Vegetative,Base nutrient A
bx-pro,bx-pro,/products/bx-pro,/feed-chart?product=bx-pro&source=shopify,/locked-assets/catalyx/front-labels/01_CATALYX_FRONT_LABELS_ONLY/CXL-BXP-1L_B-X_PRO_1L_FRONT_LABEL_v13_REAR_CHART.pdf,/locked-assets/catalyx/rear-labels-with-feed-charts/02_CATALYX_REAR_LABELS_WITH_FEED_CHARTS/CXL-BXP-1L_B-X_PRO_1L_REAR_LABEL_WITH_LOCKED_FEED_CHART_v15.pdf,/locked-assets/catalyx/v17-9sku/CATALYX_v17_9SKU_No_IRONX_System_Update/01_FEED_CHARTS_9SKU/CATALYX_Main_Master_Feed_Chart_v17_9SKU_No_IRONX.pdf,/locked-assets/catalyx/v17-9sku/CATALYX_v17_9SKU_No_IRONX_System_Update/04_LABEL_AND_RANGE_NOTES_9SKU/CATALYX_9SKU_Core_Range_Colour_Reference_v17.pdf,Vegetative,Base nutrient B
root-x,root-x,/products/root-x,/feed-chart?product=root-x&source=shopify,/locked-assets/catalyx/front-labels/01_CATALYX_FRONT_LABELS_ONLY/CXL-ROT-1L_ROOT-X_1L_FRONT_LABEL_v13_REAR_CHART.pdf,/locked-assets/catalyx/rear-labels-with-feed-charts/02_CATALYX_REAR_LABELS_WITH_FEED_CHARTS/CXL-ROT-1L_ROOT-X_1L_REAR_LABEL_WITH_LOCKED_FEED_CHART_v15.pdf,/locked-assets/catalyx/v17-9sku/CATALYX_v17_9SKU_No_IRONX_System_Update/01_FEED_CHARTS_9SKU/CATALYX_Main_Master_Feed_Chart_v17_9SKU_No_IRONX.pdf,/locked-assets/catalyx/v17-9sku/CATALYX_v17_9SKU_No_IRONX_System_Update/04_LABEL_AND_RANGE_NOTES_9SKU/CATALYX_9SKU_Core_Range_Colour_Reference_v17.pdf,Seedling / Vegetative,Root stimulator
vital-x,vital-x,/products/vital-x,/feed-chart?product=vital-x&source=shopify,/locked-assets/catalyx/front-labels/01_CATALYX_FRONT_LABELS_ONLY/CXL-VIT-1L_VITAL-X_1L_FRONT_LABEL_v13_REAR_CHART.pdf,/locked-assets/catalyx/rear-labels-with-feed-charts/02_CATALYX_REAR_LABELS_WITH_FEED_CHARTS/CXL-VIT-1L_VITAL-X_1L_REAR_LABEL_WITH_LOCKED_FEED_CHART_v15.pdf,/locked-assets/catalyx/v17-9sku/CATALYX_v17_9SKU_No_IRONX_System_Update/01_FEED_CHARTS_9SKU/CATALYX_Main_Master_Feed_Chart_v17_9SKU_No_IRONX.pdf,/locked-assets/catalyx/v17-9sku/CATALYX_v17_9SKU_No_IRONX_System_Update/04_LABEL_AND_RANGE_NOTES_9SKU/CATALYX_9SKU_Core_Range_Colour_Reference_v17.pdf,Seedling / Mid flower,Vitamins + stress support
pk-x,pk-x,/products/pk-x,/feed-chart?product=pk-x&source=shopify,/locked-assets/catalyx/front-labels/01_CATALYX_FRONT_LABELS_ONLY/CXL-PKX-1L_PK-X_1L_FRONT_LABEL_v13_REAR_CHART.pdf,/locked-assets/catalyx/rear-labels-with-feed-charts/02_CATALYX_REAR_LABELS_WITH_FEED_CHARTS/CXL-PKX-1L_PK-X_1L_REAR_LABEL_WITH_LOCKED_FEED_CHART_v15.pdf,/locked-assets/catalyx/v17-9sku/CATALYX_v17_9SKU_No_IRONX_System_Update/01_FEED_CHARTS_9SKU/CATALYX_Main_Master_Feed_Chart_v17_9SKU_No_IRONX.pdf,/locked-assets/catalyx/v17-9sku/CATALYX_v17_9SKU_No_IRONX_System_Update/04_LABEL_AND_RANGE_NOTES_9SKU/CATALYX_9SKU_Core_Range_Colour_Reference_v17.pdf,Early flower / Mid flower,Bloom booster
ripen-x,ripen-x,/products/ripen-x,/feed-chart?product=ripen-x&source=shopify,/locked-assets/catalyx/front-labels/01_CATALYX_FRONT_LABELS_ONLY/CXL-RIP-1L_RIPEN-X_1L_FRONT_LABEL_v13_REAR_CHART.pdf,/locked-assets/catalyx/rear-labels-with-feed-charts/02_CATALYX_REAR_LABELS_WITH_FEED_CHARTS/CXL-RIP-1L_RIPEN-X_1L_REAR_LABEL_WITH_LOCKED_FEED_CHART_v15.pdf,/locked-assets/catalyx/v17-9sku/CATALYX_v17_9SKU_No_IRONX_System_Update/01_FEED_CHARTS_9SKU/CATALYX_Main_Master_Feed_Chart_v17_9SKU_No_IRONX.pdf,/locked-assets/catalyx/v17-9sku/CATALYX_v17_9SKU_No_IRONX_System_Update/04_LABEL_AND_RANGE_NOTES_9SKU/CATALYX_9SKU_Core_Range_Colour_Reference_v17.pdf,Late flower,Late flower finisher
micro-x,micro-x,/products/micro-x,/feed-chart?product=micro-x&source=shopify,/locked-assets/catalyx/front-labels/01_CATALYX_FRONT_LABELS_ONLY/CXL-MIC-1L_MICRO-X_1L_FRONT_LABEL_v13_REAR_CHART.pdf,/locked-assets/catalyx/rear-labels-with-feed-charts/02_CATALYX_REAR_LABELS_WITH_FEED_CHARTS/CXL-MIC-1L_MICRO-X_1L_REAR_LABEL_WITH_LOCKED_FEED_CHART_v15.pdf,/locked-assets/catalyx/v17-9sku/CATALYX_v17_9SKU_No_IRONX_System_Update/01_FEED_CHARTS_9SKU/CATALYX_Main_Master_Feed_Chart_v17_9SKU_No_IRONX.pdf,/locked-assets/catalyx/v17-9sku/CATALYX_v17_9SKU_No_IRONX_System_Update/04_LABEL_AND_RANGE_NOTES_9SKU/CATALYX_9SKU_Core_Range_Colour_Reference_v17.pdf,Vegetative,Trace + micros
trace-x,trace-x,/products/trace-x,/feed-chart?product=trace-x&source=shopify,/locked-assets/catalyx/front-labels/01_CATALYX_FRONT_LABELS_ONLY/CXL-TRC-1L_TRACE-X_1L_FRONT_LABEL_v13_REAR_CHART.pdf,/locked-assets/catalyx/rear-labels-with-feed-charts/02_CATALYX_REAR_LABELS_WITH_FEED_CHARTS/CXL-TRC-1L_TRACE-X_1L_REAR_LABEL_WITH_LOCKED_FEED_CHART_v15.pdf,/locked-assets/catalyx/v17-9sku/CATALYX_v17_9SKU_No_IRONX_System_Update/01_FEED_CHARTS_9SKU/CATALYX_Main_Master_Feed_Chart_v17_9SKU_No_IRONX.pdf,/locked-assets/catalyx/v17-9sku/CATALYX_v17_9SKU_No_IRONX_System_Update/04_LABEL_AND_RANGE_NOTES_9SKU/CATALYX_9SKU_Core_Range_Colour_Reference_v17.pdf,Early flower / Late flower,Trace mineral support
flush-x,flush-x,/products/flush-x,/feed-chart?product=flush-x&source=shopify,/locked-assets/catalyx/front-labels/01_CATALYX_FRONT_LABELS_ONLY/CXL-FLS-1L_FLUSH-X_1L_FRONT_LABEL_v13_REAR_CHART.pdf,/locked-assets/catalyx/rear-labels-with-feed-charts/02_CATALYX_REAR_LABELS_WITH_FEED_CHARTS/CXL-FLS-1L_FLUSH-X_1L_REAR_LABEL_WITH_LOCKED_FEED_CHART_v15.pdf,/locked-assets/catalyx/v17-9sku/CATALYX_v17_9SKU_No_IRONX_System_Update/01_FEED_CHARTS_9SKU/CATALYX_Main_Master_Feed_Chart_v17_9SKU_No_IRONX.pdf,/locked-assets/catalyx/v17-9sku/CATALYX_v17_9SKU_No_IRONX_System_Update/04_LABEL_AND_RANGE_NOTES_9SKU/CATALYX_9SKU_Core_Range_Colour_Reference_v17.pdf,Flush,Flush solution
